コメント,ラベル
概要欄のエクス分身してて草,1
葛葉不破でタイトル同じなの草,1
草,1
ふわっちと同じタイトルw,1
ふわと仲良しタイトルでいいねｗｗ,1
タイトル一致草,1
ふわと仲いいなｗ,1
逆に奏斗が居ないのかw,1
これどっちかがタイトルパクったやろｗ,1
がんばれー,1
雲雀とはOW2で一緒でしたよ,1
いいむw,1
ふぁいてぃーん,1
ふぁいとー！,1
うあｗ,1
たまたまなの！？！？,1
タイトル一緒だねw,1
偶然なん？ｗ,1
おもったｗ,1
すごいよw,1
おお,1
ええ！？,1
ww,1
狙ってないの!?,1
揃えてないの！？,1
すっご,1
わざとじゃないんかw,1
ふぁいとー,1
すげえ笑,1
思考が同じｗ,1
偶然！？,1
まじ！？,1
すげえw,1
え、すご,1
ええw,1
ええけえけ,1
そんなことある？ww,1
ふわっちとタイトルオソロは草,1
シンクロ,1
たまたまなんかい,1
合わせてたんかおもてたわ！,1
ええww,1
意図的かと思ってたｗｗ,1
すごw,1
偶然？！笑笑,1
すげぇｗ,1
合わせたんじゃないの？！,1
タイトルシンクロは見たことないww,1
すご,1
偶然なん！？w,1
おもろw,1
偶然なのww,1
いよいよ1つになるか,1
すげぇw,1
仲よし～！,1
揃えたと思った笑,1
通じ方やばいw,1
合わせたわけじゃないのすご,1
思考が似通ってるw,1
一緒にした訳じゃなかったんw,1
シンクロ率100％,1
たまたま！？,1
すげー,1
いよいよ同一化かw,1
脳みそ一緒やん,1
シンクロｗ,1
とんでもねえな,1
奇跡w,1
えが大きさ違う,1
いよいよそこまで似てきたか,1
たまたまなの草,1
偶然なんかw,1
前も同じタイトルだったしなｗ,1
おめでとう！,1
偶然だったのね,1
あたま一緒や,1
同一人物疑惑,1
すごいw,1
わざとじゃなかったの！？！？,1
偶然なのかw,1
合わせたのかと思ってたw,1
さすがすぎw,1
にゃあーw,1
まあそれもすごｗ,1
合わせたのかと思ったwすごい！,1
思考いっしょw,1
すごすぎるw,1
怖いよｗ,1
若干違うのがリアルですごいww,1
タイトル合わせたんじゃないんだw,1
合わせてるのかと思ったw,1
仲良しw,1
みらいさんw,1
未来さんw,1
シンクロすぎて草,1
なぜw,1
逆にｗ,1
ならスカイの方がww,1
逆にねｗｗ,1
あらw,1
大丈夫かｗ,1
そんなにww,1
そんな当たらんのｗ,1
声でかw,1
やばいw,1
ならかさんすでにお母さんみたいw,1
やってたねw,1
FPS離れてるw,1
塊魂w,1
w,1
おせぇw,1
ちっかｗ,1
ナイスゥ,1
ないす,1
ナイス,1
ナイフどこいった？,1
ないすぅ！,1
ナイス設置,1
頑張れー！,1
にゃらか元気いっぱいで可愛いなｗｗ,1
あw,1
がんばれ〜,1
GO,1
ｗｗ,1
なにが起きてる？,1
ナイスゥ！,1
nt,1
何が起きたw,1
ひばのVC音量上げてほしいです,1
エイム終わってるかw,1
まじでｗ,1
なんも聞こえてねえw,1
何今のw,1
まじで小さいw,1
音小さいw,1
わちゃわちゃ,1
qq,1
きこえないw,1
まるで仲間w,1
たまがあ,1
今のなにww,1
上手くね？笑,1
がんばれ,1
ラグーザコールｗ,1
渡会くんの声小さいかも,1
どうした？,1
タイトル回収,1
ほんとにちっちゃくて草,1
ちっさｗ,1
敵陣に囲まれてたw,1
せやなw,1
おもろプレイきちゃｗ,1
もうおもろい,1
タイトル回収はやすぎたw,1
オーメンシェリフえぐいｗ,1
弾当たらなさすぎて諦めてたしなww,1
敵に囲まれてたw,1
ナイフ持ってるKOいるわオーメン後ろ向いてるわｗ,1
本気って何w,1
T1のエコ真似すべ,1
最強エコ部隊Ｔ１ね,1
ヒバくんちっちゃいっていうかなんか知らんけど左から聞こえる気がする,1
一旦タイトル回収あざす,1
れちご,1
おか,1
どまw,1
れちごー,1
久々で弾当たってなかった,1
やばｗｗ,1
当たらんw,1
沼w,1
あたんねぇｗ,1
どまｗ,1
0!?,1
