コメント,ラベル
気負わないでねw,1
よくシェリフに変えたw,1
もう始まってて草ァ！１,1
ロレやりマ,1
報告いいね！,1
連携めちゃ良くなってる,1
ナイカバ,1
サムネめちゃ良いやん,1
ナイスカバー！,1
ないかば！,1
ワンキルごとに自信つけてこ～,1
いい報告！,1
スクリム最終日！がんば！,1
ナイワン,1
ナイスーー,1
ないすぅ！いい！,1
ええやんええやん！,1
ないすないす,1
なああアイス,1
なぃすー,1
対よろ〜がんばれー！,1
ハンドガン取った！,1
ハンドガンナイス,1
ncー！,1
まず一本！,1
冷静な声掛けいいね！,1
声出しいいねーー！,1
いいね〜,1
おいす,1
いいよー,1
コールめちゃくちゃすげぇ！,1
BO1ならマジである,1
声がけ最高じゃない！,1
ハンドガンないすだぁ！,1
うわ、いい,1
なんかキリッとしてるな！笑,1
ストラップかわいいなw,1
モク中エビオはマジで警戒されてそうww,1
みえてる！？ｗ,1
ナイスつよ,1
えつよ,1
つよっ,1
Awesome.,1
うまあい！,1
ちるちるちる,1
杖ええエエ,1
大丈夫だ！,1
えぐいよ,1
エイムあったまってる！,1
素晴らしい耐え,1
aimバッチリね,1
あぶねええｗ,1
やっちゃえやっちゃえｗ,1
男待ちｗ,1
今のはさすがに運が悪かったw,1
ないす耐えｗ,1
これティア5まじ？笑,1
ひばほんとにtear5か？w,1
毎回葛葉と逆に来るなｗ,1
普通の動きに変えてきたｗ,1
かるびw,1
次はラッシュか普通かｗ,1
うええいｗ,1
オペの撃ち方ｗ,1
みっちーだからガンガンくるw,1
誰がオペ持つんだろｗ,1
かるびｗ,1
おっそw,1
まぁまぁまぁｗ,1
困惑w,1
おとしものｗ,1
ラッキーｗ,1
何で落ちてるｗｗ,1
what!?,1
なんでかるびがオーブ取ってんのｗｗ,1
声の問題ではないからw,1
いけええｗ,1
昨日戦ったEROCさんよりつええやw,1
ろれーw,1
エビオきつーw,1
ショートずっとパラで止められるｗ,1
コール少なくなってるなw,1
敵の位置いえよw,1
勝てる気しねぇw,1
つえーなこれは笑,1
気付いたら挟まれてるw,1
コメで言っても意味ないっすよ笑,1
言うなら励ましの言葉を言いましょう笑,1
ヘイブン覚えとけよっｗ,1
うんw,1
スクリム番長どころの話じゃないな笑,1
そりゃ気まずいやろw,1
渋ハルが一番気まずいだろってｗ,1
渋ハルでてく時こんなんやろいつも笑,1
そっか背負わせた本人かｗ,1
皆落ち着けw本番は明日やw,1
CEOてティアなんぼだっけ,1
蜻蛉軍団がんばれー,1
がーんばがんばー,1
かるびはまじで良くなってる,1
PRXでしょ,1
ちょっと考えすぎて動けないなら普通にフィジカルで破壊した方がこのチームらしい,1
辛いと思うけどなんとか保ってくれえ,1
今のは相手の作戦うまかったなー,1
最後のスクリムだし試したいこと全部やっといても,1
今日はまだ練習やで～,1
どうせ負けるなら前目のワンピックガチャ引こ,1
やれることやるだけだじょ〜,1
大丈夫、葛葉ならできる,1
言おう,1
大丈夫みんな強くなってる！切り替えてこ！,1
たのしんでけぇ〜,1
強気だ！,1
言った方がいい,1
いけーいけー,1
がんばれ、こっからだ,1
葛葉前目いくしかない,1
足りてないしな,1
もうそのほうがいい,1
かるび、somethingになれ,1
強気でゆけぇ！,1
がんばれ！大丈夫だ！,1
応援することしかできないからがんばれ,1
GOGO٩( 'ω' )و,1
このチーム1番応援してる！がんばよ,1
そっちの方が良いと思う,1
そうしよう,1
俺らはただこの方達を見守るだけよ頑張れ,1
それはだいじだよ,1
うん！どんどんコールしてこう！,1
やってみよ,1
いこーぜぇ！,1
いけ！いけ！,1
吹っ切れた方がつよそうだ,1
そのほうがいい！,1
みんながんばれ！最後まで応援します！,1
それだ,1
いいね！やろやろ！,1
みんな強くなってるんだよ！応援してるぞ～！,1
その方が良いよね,1
そうだ！いけ！,1
応援してるぞ,1
絶対そのほうがいい,1
迷うよりよき,1
撃ち合えてなかった気がする,1
いいね！頑張れ！,1
いっけぇ！,1
いこ、葛葉,1
レイナ居たらファイトしかないしね！,1
はっきりいこう,1
いいと思うよ〜,1
だいじ！,1
よいよい！,1
言った方がいい！,1
大丈夫,1
めっちゃ間違ってること言うの草,1
どんどん消えてくコメあるけどこれはモデさんが頑張ってくれてるって事ですか？,1
間違ってても統一したほうがいい,1
すばがんばれーー！,1
大丈夫だよ,1
北極星になるんだ,1
はっきり言おう,1
fight！,1
やってこう！,1
すごい丁寧だったｗ,1
なっちゃうよねー,1
ｽﾝ,1
そうなってたなｗｗ,1
あ…ｗ,1
それがいい！,1
葛葉がんばれええ,1
強気でいこう,1
いっちゃお！,1
見て聞いた情報全部言ってこう！,1
なるなるなる,1
掻き回しちゃおいっそ,1
前日でこれはなぁ.,1
試してみよう！,1
あ・あ・,1
このチームは迷うより突っ込んでった方が勝てそう,1
せやなｗ,1
自信が大事！,1
ぃん…,1
迷いまくってたねw,1
葛葉のコールいつも褒められてる,1
やれやれ〜！,1
ほんとそれ,1
モジモジしてたか,1
上手いなｗ,1
どうせならやりたい放題チャンネル,1
そうね頑張ろ,1
合ってる風に言お！,1
遠慮しないでいこかー,1
いっちゃえいっちゃえ！,1
正直スピードが足りてなさすぎるのはあるわなぁ,1
あ…あぅ…,1
そうだなww,1
葛葉、雰囲気作り良,1
いけー！,1
最終日だしね！固くもなるさー,1
どんどん言っちゃおう！,1
ひよってる奴いる？,1
そりゃそうよ,1
萎縮しなくていいぞ！,1
そうだね,1
エゴっていこ！,1
ガンガン言ってしまおう,1
水無瀬さんも頑張ってた,1
いきましょ！れちご！,1
よく言った！葛葉！えらい,1
いこ！,1
みんなでやろう！,1
言い切っちゃおう,1
背負え葛葉,1
みんな強気でいこう,1
発言いいよ,1
ただそれなら絶対にそのコールについて来させないとな,1
空気が静かやったな,1
悩んじゃうよ,1
