時間,コメント
0,待機
97.407,待機
101.045,待機
130.573,待機
172.57,待機
421.734,待機
765.535,待機
907.551,待機
959.194,待機
1201.525,ポキ農メンだ！
1323.953,待機
1378.239,待機
1407.338,待機
1448.735,待機
1554.584,九人なの ?
1580.95,待機
1601.536,アルファさん主催なんやからそら参加するやろな
1884.892,待機！！
1904.461,ゲスト9人＋主催者じゃない？
1919.221,待機
2071.579,待機
2261.383,待機
2291.606,待機
2473.262,待機
2591.931,待機
2605.307,待機
2624.579,待機なの
2810.727,待機なの
2829.111,待機
2912.204,待機
2919.159,待機
3032.015,待機
3035.948,待機
3047.937,待機
3111.317,待機
3150.911,待機
3154.864,待機
3167.436,待機
3176.382,待機
3185.454,こん
3188.186,こん
3191.787,こん
3194.431,こん
3196.518,こん
3198.337,こん
3199.494,こんひなー
3202.112,こん
3203.753,こん
3204.216,え？www
3205.747,こん
3207.19,こん
3207.723,こん
3207.783,わこつ
3209.503,こんひなー
3209.723,こんひな！
3210.199,こん
3211.083,こん
3211.39,ん？
3212.78,こん
3213.053,こん
3213.94,こん
3214.62,こん
3217.666,こん
3219.861,こん
3222.952,こん
3222.959,こん
3223.936,こん
3239.289,ポキ農そろったぁ
3242.396,こん
3246.166,エペぶりのぎーあ
3247.073,こん
3248.08,こん
3248.09,こん
3249.894,こん
3256.866,こん
3261.742,こん
3263.513,え？www
3273.589,こん
3278.35,はなばなアイコンかわいい
3279.152,こん
3299.973,こん
3302.69,こん
3317.214,こんひなー
3317.91,こん
3321.667,こんばんわ～！
3327.905,でけえええええ
3331.054,こん
3341.161,ｗｗｗｗｗ
3347.232,www
3351.47,サムネ間違えてません？俺だけ？
3351.466,こん
3353.41,88888
3358.109,wwww
3366.59,かわいいｗ
3370.652,www
3384.737,こん
3388.959,覚悟決めすぎでは？
3389.472,こんばんは
3396.618,おっも
3398.203,wwwww
3405.349,www
3408.048,サムネ違うwww
3411.636,やる気がすごいんだから
3412.485,重すぎだろ
3412.531,サムネ間違ってるね笑
3414.998,wwww
3416.123,こん
3426.887,サムネ間違ってるんじゃなくてバグな
3436.894,こんばんは〜！配信頑張ってください〜
3444.396,こん
3449.128,同じか…
3450.442,www
3450.596,こん
3451.138,ｗｗｗｗ
3451.26,wwwww
3451.515,wwwwww
3452.337,www
3455.53,こん オリ曲良かった
3456.623,こん
3458.478,こんー
3461.534,wwww
3462.367,wwww
3463.677,www
3464.836,え？
3465.778,？？？
3466.323,ん？？？
3466.822,ん？
3467.508,こん
3469.929,こん
3472.441,こんひな！
3473.499,スルーｗ
3473.818,はい？
3473.873, ん
3474.462,for victoryよかったよ〜！
3474.726,無視でｗ
3475.8,for Victory!最高でした
3476.751,清楚担当サラッと流れたな
3476.785,もう誰もつっこまない
3478.692,もうええか…
3485.055,ん?
3493.455,!rank
3498.318,スシマスのアイコンいないかも
3499.386,呼び方の癖つよいてwww
3499.764,for victoryきいてきたぁ）
3503.199,こん
3503.653,www
3507.746,こんひなー
3510.928,サムネって合ってます？？
3511.538,で
3512.388,こん
3515.024,こん
3517.881,曲よかっだぁ
3522.409,for victoryめちゃいいやあああああん
3522.847,ん？
3527.769,こん
3530.335,歌めちゃくちゃよがっだよおおおおおお
3532.359,for victory最高だったぞーーーーー
