時間,コメント,ラベル,,
0,対喜,0,,
0,概要欄のエクス分身してて草,0,,
0,おそいど,0,,
0,葛葉不破でタイトル同じなの草,0,,
16.509,対よろ！！,0,,
16.637,対よろ,0,,
16.906,対よろ,0,,
17.857,対よろ,0,,
18.099,対よろ,0,,
19.157,対よろ,0,,
21.767,対よろ,0,,
24.892,対よろ,0,,
27.463,対よろ,0,,
28.634,おめでとうございます,0,,
29.179,対よろ,0,,
29.964,対よろ,0,,
30.014,たいよろ,0,,
30.279,対よろ,0,,
33.133,対よろ！,0,,
35.655,対よろ,0,,
37.657,対よろ。,0,,
39.903,おめでとうございます,0,,
42.765,草,1,,
43.766,対よろ,0,,
46.411,草,1,,
47.089,対よろ！！,0,,
47.222,弾あたるわけねえだろうおおおおおおおお,0,,
47.816,草,1,,
48.338,ツイート,0,,
50.895,ふわっちと同じタイトルw,1,,
53.35,対よろ,0,,
56.417,対よろ〜！,0,,
56.437,まずいな,0,,
57.109,葛葉の推しいるじゃん,0,,
57.876,おお〜,0,,
58.5,対よろ,0,,
58.644,対よろ,0,,
62.712,リハビリがんばれ,0,,
63.025,対よろ,0,,
63.748,対よろ,0,,
65.022,ついあり,0,,
67.631,きちゃ〜,0,,
67.819,対よろ〜,0,,
70.352,ついあり！,0,,
70.381,ついあり,0,,
70.597,ふわっちとタイトル一緒なのすげぇな,0,,
70.902,おとバラ！？,0,,
71.047,カスタム楽しみ！,0,,
71.202,対よろ,0,,
72.1,対よろ,0,,
73.856,エクス2人おるな,0,,
74.652,ふわと仲良しタイトルでいいねｗｗ,0,,
74.967,対よろ,0,,
75.068,ついあり,0,,
75.145,たいよろ,0,,
75.316,対よろ,0,,
75.692,みんな強いねー,0,,
75.713,対よろ！！,0,,
76.309,ついえら,0,,
84.634,こんー、対よろ,0,,
85.176,弾あててこ,0,,
85.454,対よろ,0,,
89.914,ふわくずてぇてぇ,0,,
92.554,対よろ,0,,
95.986,がんばれー,0,,
96.373,対よろ,0,,
99.213,対よろ,0,,
100.118,れちごー,0,,
101.535,対よろ,0,,
102.501,タイトル一致草,0,,
103.425,ふわと仲いいなｗ,0,,
104.549,対よろ〜,0,,
105.348,対よろ,0,,
107.114,逆に奏斗が居ないのかw,1,,
109.191,お願いいたします,0,,
109.431,hae haee,0,,
109.989,りりむちゃんおる！嬉しいわ！,0,,
110.184,てぇよろ,0,,
111.607,楽しみ〜！,0,,
112.107,お願いします！,0,,
112.757,ふぁいてぃん,0,,
114.351,これどっちかがタイトルパクったやろｗ,0,,
115.131,ローレンはローレンはローレンはローレンはローレンはローレンは,0,,
115.584,ふぁいて〜ん,0,,
116.731,対よろ,0,,
120.753,ふぁいてぃん！,0,,
122.153,草,1,,
124.001,対よろ！,0,,
125.356,がんばれー,0,,
125.569,雲雀とはOW2で一緒でしたよ,1,,
125.594,いいむw,1,,
127.684,草,1,,
128.996,りりむ久しいなぁ,0,,
129.105,がんばれ〜,0,,
129.629,ファイティン,0,,
131.042,対よろ,0,,
132.044,草,1,,
145.023,カスタムうれしいなー,0,,
133.12,ふぁいてぃーん！,0,,
133.527,がんばれ～,0,,
134.652,がんばれ～,0,,
134.848,ぷわ〜！,0,,
135.018,がんばれ！,0,,
135.137,草,1,,
136.588,いいむw,1,,
137.905,おおお,0,,
138.789,対よろ,0,,
140.136,草,1,,
140.297,草,1,,
140.32,対よろ,0,,
140.963,ふぁいてぃーん,0,,
141.162,ふぁいとー！！,0,,
141.313,うあｗ,0,,
141.594,たまたまなの！？！？,0,,
141.675,草,1,,
141.809,草,1,,
141.881,タイトル一緒だねw,1,,
142.311,偶然なん？ｗ,0,,
142.488,おもったｗ,0,,
142.816,草,1,,
143.37,草,1,,
143.417,草,1,,
143.749,すごいよw,1,,
143.762,おおお,0,,
143.845,草,1,,
143.864,草,1,,
144.518,ええええええ！？,0,,
144.562,ww,1,,
144.849,狙ってないの!?,0,,
144.888,揃えてないの！？,0,,
144.888,すっご,0,,
144.884,草,1,,
145.069,草,1,,
145.179,わざとじゃないんかw,1,,
145.205,草,1,,
145.28,ふぁいとー,0,,
145.299,草,1,,
145.629,草,1,,
145.604,草,1,,
145.709,草,1,,
147.299,すげえ笑,0,,
147.395,草,1,,
147.538,草,1,,
147.545,草,1,,
147.641,思考が同じｗ,0,,
147.791,偶然！？,0,,
147.888,まじ！？,0,,
149.196,すげえw,1,,
149.259,草,1,,
149.344,草,1,,
149.399,え、すご,0,,
149.44,草,1,,
149.506,ええええええw,1,,
149.663,ええええけえけ,0,,
149.755,そんなことある？ww,1,,
150.683,草,1,,
150.968,草,1,,
151.217,草,1,,
151.255,草,1,,
151.396,草,1,,
151.566,草,1,,
151.58,草,1,,
151.646,ふわっちとタイトルオソロは草,0,,
151.833,シンクロ,0,,
151.894,たまたまなんかい,0,,
151.899,合わせてたんかおもてたわ！,0,,
152.765,ええww,1,,
153.02,意図的かと思ってたｗｗ,0,,
153.31,草,1,,
153.534,草,1,,
153.573,偶然！？,0,,
153.594,すごw,1,,
153.602,偶然？！笑笑,0,,
153.699,草,1,,
155.363,すげぇｗ,0,,
