時間,コメント,
0,このサムネめっちゃ好き,
0,サムネいいねー,
0,サムネめちゃめちゃすてき,
0,サムネかっちょいい,
0,ふぁいとー！,
0,サムネよすぎる,
0,サムネ,
0,対よろ,
14.975,こん,
15.64,対よろ！,
17.225,対よろ,
18.031,対よろ,
18.453,たいよろ！！,
18.715,たいよろ,
19.176,たいよろ〜,
19.559,たいよろ！,
19.983,対よろ,
21.774,対よろ,
22.449,たいよろー,
22.675,対よろ〜,
23.938,気負わないでねw,
23.664,たいよろー！！,
25.994,ファイティーン！,
27.06,対よろ！！,
27.219,対よろ,
28.729,対よろ,
29.291,対よろ,
30.965,たいよろー！,
31.089,がんばれ〜,
31.19,対よろ！今日もがんばえ！,
31.473,まってたーーー,
34.111,れちごーーーーー！！！,
36.306,対よろ,
36.316,対よろ,
36.573,対よろ！,
36.549,ファイティーン！！！,
38.01,対よろ,
38.736,がんばれー！！,
40.267,ふぁいとー！,
42.009,ファイティン！,
42.312,ふぁいてぃーん！がんばれー！,
44.218,れちごおおおおおおおおおおおおお,
44.269,ふぁいてぃーん！,
44.804,れちごー！,
45.914,ファイティンー,
46.648,がんばれ,
47.41,ふぁいてぃん~~！！,
47.816,ふぁいてぃん！,
48.044,よろ,
48.309,まってた〜ワクワク,
49.351,対よろ,
49.369,対よろ,
49.657,頑張れー！,
49.759,スクリムラストがんばれ〜,
49.812,がんばれー！！！,
51.142,がんばれ！,
51.231,がんばれ！,
51.528,今日もファイティン,
52.571,対よろがんばれ〜！,
52.638,がんばれー！！,
52.74,がんばれ〜,
52.915,がんばれーーー！！！,
53.395,ファイトや,
53.375,今日もがんばれー！！！！！,
53.56,がんばれー！！,
54.38,対よろ！頑張れー！！！,
54.383,ふぁいとー！,
54.913,対よろ〜！楽しんでくれ！！,
55.341,ふぁいてぃーん！！,
55.988,がんばれ,
56.112,ふぁいてぃーん！！,
56.233,がんばれ！！！,
57.664,がんばれー！,
57.968,がんばれー！！,
58.479,ふぁいてぃーん！！！,
