時間,コメント,ラベル,,,,
0,このサムネめっちゃ好き,0,,,,
0,サムネいいねー,0,,,,
0,サムネめちゃめちゃすてき,0,,,,
0,サムネかっちょいい,0,,,,
0,サムネよすぎる,0,,,,
0,サムネ,0,,,,
18.453,たいよろ！,0,,,,
19.176,たいよろ〜,0,,,,
19.559,たいよろ！,0,,,,
23.938,気負わないでねw,0,,,,
23.664,たいよろー！,0,,,,
25.994,ファイティーン！,0,,,,
30.965,たいよろー！,0,,,,
31.19,対よろ！今日もがんばえ！,0,,,,
31.473,まってたーー,0,,,,
36.549,ファイティーン！,0,,,,
42.312,ふぁいてぃーん！がんばれー！,0,,,,
44.218,れちごおお,0,,,,
45.914,ファイティンー,0,,,,
47.41,ふぁいてぃん~！,0,,,,
48.044,よろ,0,,,,
48.309,まってた〜ワクワク,0,,,,
49.759,スクリムラストがんばれ〜,0,,,,
51.528,今日もファイティン,0,,,,
52.571,対よろがんばれ〜！,0,,,,
53.395,ファイトや,0,,,,
53.375,今日もがんばれー！,0,,,,
54.38,対よろ！頑張れー！,0,,,,
54.913,対よろ〜！楽しんでくれ！,0,,,,
58.792,対よろ〜スクリム最終日ファイトー！,0,,,,
60.568,いくわよー,0,,,,
62.289,応援だああ,0,,,,
62.275,ふぁいとーー,0,,,,
65.166,ふぁいと,0,,,,
65.616,今日はないのかと思ってたから嬉しい,0,,,,
66.261,左に謎のやつが,0,,,,
66.49,頑張ってください！,0,,,,
68.184,ファイテン！,0,,,,
70.278,がんばー！,0,,,,
70.412,対よろ！頑張れ！,0,,,,
70.575,お菓子代。スクリム最終日！蜻蛉軍団最協の仕上げファイティン！今日も感謝,0,,,,
71.001,最終日がんばれー！,0,,,,
71.34,ふぁいと〜！,0,,,,
71.721,頑張ってください,0,,,,
71.996,なんか左下出てるぞ,0,,,,
73.263,サムネかっこいー！,0,,,,
75.759,こんー、対よろ、ふぁいてぃん！,0,,,,
75.854,皆様頑張ってください…！,0,,,,
76.061,がんばってこ〜,0,,,,
77.015,応援してる,0,,,,
78.345,最終日の相手に不足なし,0,,,,
79.251,！がんばれ！,0,,,,
79.427,ふぁいと！,0,,,,
79.472,ふぁいとーー！,0,,,,
79.746,ここの勝負1番楽しみ！,0,,,,
80.322,サムネカッコいい,0,,,,
81.937,対よろ～,0,,,,
83.976,相手どなたですか？,0,,,,
84.286,がるばるれ！,0,,,,
84.404,楽しんでね！頑張れー！,0,,,,
88.604,対よろ！ツイート,0,,,,
89.01,きゅぴちゃんと同じサムネだ！,0,,,,
89.624,最終日にあたりたくないチームやなぁ,0,,,,
90.783,ファイトー！,0,,,,
91.073,楽しんでがんばえー,0,,,,
91.279,ナイスワン,0,,,,
93.496,ふぁいと！,0,,,,
93.663,ロレチームか,0,,,,
94.351,おほ,0,,,,
94.472,まじがんばれ！,0,,,,
95.485,ないすわんぴ！,0,,,,
95.549,はいつよい,0,,,,
96.054,ないすわん！,0,,,,
96.514,ナイスワンピック,0,,,,
98.373,まじ１？！,0,,,,
98.437,た,0,,,,
98.582,dekka,0,,,,
100.893,ワンピでかい,0,,,,
101.529,最終日がんばって〜,0,,,,
102.788,今日も頑張れー,0,,,,
104.965,サムネとっても可愛いね,0,,,,
107.292,相手ろれチームかぁ,0,,,,
107.532,ロレチームに勝とう,0,,,,
108.175,いきなりローレンでかい！,0,,,,
108.262,ロレ落とせるのでかいよ！,0,,,,
108.569,よくシェリフに変えたw,0,,,,
108.818,MOTTOO KOROSEE,0,,,,
110.338,たいよろぉ,0,,,,
112.94,もう始まってて草ァ！１,0,,,,
113.014,ロレチームと出来てラッキーやな,0,,,,
115.121,ないすぅぅうう,0,,,,
115.4,えっっおぉ！,0,,,,
121.951,ロレやりマ,1,,,,
124.763,こんばんわー　,0,,,,
127.412,報告いいね！,1,,,,
134.878,連携めちゃ良くなってる,1,,,,
134.938,ナイカバ,1,,,,
135.71,サムネめちゃ良いやん,1,,,,
136.264,ナイスカバー！,1,,,,
138.54,ないかば！,1,,,,
141.638,ワンキルごとに自信つけてこ～,1,,,,
144.43,いい報告！,1,,,,
149.459,スクリム最終日！がんば！,1,,,,
151.553,ナイワン,1,,,,
155.662,ナイスーー,1,,,,
155.875,ないすぅ！いい！,1,,,,
157.113,ええやんええやん！,1,,,,
157.421,ないすないす,1,,,,
158.113,なああアイス,1,,,,
159.634,ナイスーー,1,,,,
160.117,なぃすー,1,,,,
163.944,ツイート葛葉さん,0,,,,
164.459,対よろ〜がんばれー！,1,,,,
165.429,ハンドガン取った！,1,,,,
166.139,ハンドガンナイス,1,,,,
166.715,ncー！,1,,,,
167.029,まず一本！,1,,,,
167.015,冷静な声掛けいいね！,1,,,,
167.979,声出しいいねーー！,1,,,,
169.284,いいね〜,1,,,,
169.501,おいす,1,,,,
169.551,ええやんええやん！,1,,,,
170.124,いいよー,1,,,,
170.747,コールめちゃくちゃすげぇ！,1,,,,
171.329,BO1ならマジである,1,,,,
171.613,声がけ最高じゃない！,1,,,,
172.138,ハンドガンないすだぁ！,1,,,,
172.179,うわ、いい,1,,,,
172.289,声出てるのよすぎる！,0,,,,
173.229,ナイスワンピックすぎる！,0,,,,
173.994,ピストルとったぞー！,0,,,,
175.061,おいコール量が激増やぞ,0,,,,
175.787,いいよー,0,,,,
175.851,〜がんばれ〜,0,,,,
176.013,大丈夫だよ！いけてるいけてる！,0,,,,
176.426,ええやんええやん！,0,,,,
177.779,なんかキリッとしてるな！笑,0,,,,
178.301,ラプ様、声出てていいね,0,,,,
178.505,左下のuiなに？,0,,,,
180.117,いいねー！ないす！,0,,,,
182.672,コールの統一感が出た気がする,0,,,,
185.278,雰囲気良！,0,,,,
185.911,声出し最高！,0,,,,
186.184,なんかめっちゃいいかんじ！,0,,,,
186.555,冷静ゲーミング！,0,,,,
187.427,ディスコードの裏のあれなんなの？,0,,,,
188.396,ナイスピストル,0,,,,
189.517,トン兄って優秀なのか？もしかして,0,,,,
190.266,かっけー！,0,,,,
190.911,てんきゅーギャル,0,,,,
190.97,なんかめちゃいいよお！,0,,,,
191.364,ピストル取れた〜！,0,,,,
192.455,成長してる？！,0,,,,
192.763,ハンドガン取れたぞ！,0,,,,
198.456,やっぱ一戦目はいい感じやな,0,,,,
200.763,長時間の練習からのこの雰囲気あまりにも最高では,0,,,,
203.574,どんどんいいチームになってる！,0,,,,
