コメント,ラベル
腰痛の話｡寝てもさめても腰痛い｡痛みよ､去れ!イたとん!,0
結局、わがままなんだな。,0
田中里奈、たなかりな、ティーナカリーナ…,0
ホームパーティー楽しすぎてお泊まりした帰り道。,0
｢悪の教典｣観てきた。,0
あぁあ～小朝師匠！,0
久しぶりにヤツが来た。,0
忙しくて体痛いし眠いしゲームする余裕がない,0
帰省の車内で可愛コちゃんに声をかけられた。,0
りあるキッズのメガネ久々に見た！,0
何かもうキャラが迷走しすぎてきたので、まずはめちゃくちゃ普通の人、やります。,0
ぐさりと刺さっても、笑ってスルーするー。,0
動物も子供も普通に好きですが、わぁー！,0
久々に自炊した。,0
胃腸かぜって、辛いですよ。,0
お腹いたい…,0
寝込むたび、死について考える私は大袈裟でしょうか,0
ネットとられたら多分発狂する。,0
"OGG,KBB おなかゴロゴロ、顔ぶっつぶつ。",0
人にご馳走するのが苦手です。,0
アラーム、サイレントモードでも鳴ってよ…歯医者寝過ごしたorz,0
今日、とある会合に参加した。,0
夜中から出掛けようと思って、一から化粧したのに結局出掛けずにそのまま寝てしまった。,0
久々真面目にお稽古に行こうと思ったら、道具が根こそぎない。,0
お店やっても、家族は養えない。,0
眠すぎて傘持つのもダルくて上着のポケットに引っ掛けてズルズル～って目ぇつむって歩いたけど、みっともないからやめなさいなんて言わないでほしい。,0
二日酔いです。,0
花粉症デビューしました。,0
何年ぶり、いやもしかして初めて？,0
もうだめだ…私もアラサーちゃん買おう…,0
喉痛い。,0
さ、さ、さむい…！,0
この歳の風邪は辛い。,0
店の買い出しアップ。,0
あーもうなんてゆーかこう…、出家したい。,0
お昼が遅かったので夜は炭水化物を抜いて冷しゃぶサラダ。,0
【お詫び】 先程、なんかダジャレみたいなんを言ってしまったことをお詫び致します。,0
【速報】 歩ける距離の店までバスに乗ったら、全くお金を持っていませんでした。,0
～でなければならない、に、追いかけられている。,0
一昨日から寝不足でめっさ眠いけど明日はテレビの点検の人が来るから大掃除！,0
眠すぎるから早めに寝床に入ったのに、全く寝れない。,0
今週はほんまにしんどかった。,0
腰が痛い。,0
あーもうやだやだ！,0
晩御飯仲間が誰も捕まらず、一人ごはんもピンと来ず、 はじめての一人おうち焼き肉なう。,0
人見知り治したい…(T_T),0
ひとつは自分の家族出演。,0
部屋を片付け始めると、必ず途中から紙類とか引き出しの中の整理とかにはまってしまって、 かなり時間かけたあとにふと辺りを見回しても、やる前と変わってないし何なら余計に散らかってる印象。,0
好きなものを好きといって何が悪いの,0
別れたあとも自分と付き合ってた頃の写真をSNSのアイコンにしてた相手が、ある日違うアイコンに変えてるのに気づいたときはなんかショック。,0
それなのにいち早くいいね！,0
なんとなく忙しくて、忙しすぎて、眉毛つながりそう。,0
おなかいたい。,0
なんか最近おなか弱い。,0
来世はチンピラ以外になりたい…,0
かささすの苦手。,0
多分指おれてるっぽい,0
変な時間に目覚めて眠れずひとしきりSNSやラインチェックして、 ふと変な考えが浮かんで送信したくなるけど、 夜中の思考回路は恐ろしいのでうかつなことはしない方が良い。,0
ずっと混乱してる。,0
思えばいつも、今を生きてこなかった気がする。,0
合わない相手と付き合うのはとても消耗するので、できれば波動の良い人としか付き合いたくない。,0
ものすごいリアルで怖い夢みた。,0
以前に増して、夢をよくみる。,0
脚立でおもいっきり頭ぶつけて目が回っておる。,0
人が、自分に興味がなくなる瞬間を見るのは辛いもんだ。,0
サレタガワのブルーいい感じに胸くそ悪いぜ！,0
シャンプー買い忘れ,0
覚えたての単語で医師と議論しようとする人々、もうちょっとなんかこう…意味をしっかり調べようとしないのかな…まとめサイトや情報サイトの非医療人にも分かりやすく簡略化された説明や素人が適当な妄想で語っている内容だけで戦えると思っているようで見ているだけで恥ずかしい…,0
県民全員から頭シバかれてほしい,0
バカだなあ、バカは勝手にしんでくれればいいけどバカのせいで怪我したりしぬのは本当に嫌,0
もう経済の方が心配,0
複数のバカなジジイのせいで多くの医療従事者の努力が水泡に帰すかもしれない 医療崩壊が起きれば救えるはずだったコロナ以外の患者も救えなくなるかもしれない はァ?,0
当たり前っちゃ当たり前なんだけどまとめサイトとかで新コロ記事取り上げられていると医療の医の字も知らん素人が専門家は信用出来ないとかヤバイヤバイ騒いでいてイライラする 迷惑,0
神様擁護のリプくっそ頭悪そうでイライラしてくる,0
"PCR検査のキットをインフル迅速検査と同じものと勘違いしている自称""医療現場で働いている垢""がおれは現場にいるから医療にくわしいんだ?！",0
というか実際現場で働いていたらそんな余力ないこと分かるはずなので察しって感じ…,0
暇人によるトイレットペーパー買い占めっていつになったら終わるの？,0
ドラッグストア行くと消毒液ティッシュトイペ売り切れですって貼り紙あるにもかかわらず絶対に「すいませーん！,0
ドブ鬱の森,0
ツイフェミの味方をするつもりは毛頭ないんだけど、こういう仮想の女性案内員に対してセクハラ質問する奴はどう逆立ちしようがクソキモいことに変わりはないので、うまくいなすような返答を準備するのではなくグロや心霊系のショッキングな画像でも返すように設定しておけばよかったのにとは思います。,0
終わってしまった…,0
あのねこれ個人だけの問題じゃなくて親が働けなくなって生保受けないといけなくなった子供に対しても言えんの？,0
不正受給者を指して批判したいのは分かるよ けどそれならきちんと正確な言葉を使わないと,0
冷食売ってなくて草,0
肉も売ってねえ,0
もうすごいな 意味不明なんだけどなんで2Lペットボトル大量購入してる人いるんだろう,0
バイオ4はまだ爽快ガンアクションゲーだった 2は怖すぎる,0
バイオRE:2本当にメンタル削れる,0
ラクレット美味そうだけどたかーい…,0
若者で基礎疾患無ければ致死率低いことに変わりはないけど重症化しやすい人にうつすリスクやそれで病床が埋まって医療機関がてんやわんやな時にくじ引き低確率で健康な自分が重症化した時に適正な医療を受けられない可能性とかやっぱ考えないんやろなあ,0
婚活上手くいかないおじさんにありがち,0
こういうの正味買う方も買う方だわと思ってしまう,0
下の階のパリピ男女の笑い声いっつもうるさいからトロンボーン買って重低音を床に向かってお見舞したい,0
なんかバイオ4は進めていてスゲ?楽しい?！,0
1度ウケた喜びを忘れられないのか同じネタを何回も繰り返して飽きられているのに段々ウザがられていくことにも気が付かないおたくの典型例,0
勝ち戦の恋愛しかしてないと負け戦の攻略方法わからないのかな…だからキモいアプローチになっちゃうのかな…（あいのり）,0
アフリカの旅、衛生面メチャメチャ厳しそうだな,0
うわ緊急事態宣言出す流れになってるからスーパー激混みしそう…,0
あったまいて,0
基本テンポってPercに合わせるもんだと思うんだけどピアノは重いし合流してきたClは走り気味だしお前ら合わせる気あるんか？,0
寝れないまま早朝になったから語るね気に食わないポイント,0
あとスコア見ないと分からないけど2:07くらいから何回かあるFlのGとFそんなブツっと切れる？,0
髪の毛たぴミルカラーにしようと思ったのに老人居住地域だからそんな明るい色なかった,0
フォロワーが1月頃に言ってた喉痛い訳じゃない？,0
白目むくか,0
ウワーーン,0
午前10時ならみんな起きてると思ったか？,0
緊急速報はこの期に及んで外出自粛しないアホにだけ永遠に流しておいてほしい,0
家の近くで出店マスクやってる人がいて、買うか迷ってるフリして別の客との会話聞いてたらどうにも日本の方ではなさそうで察したよね…,0
雷やべー,0
いまこれになってて怒りが止まらない 引っ越したら失効っていつ誰が教えてくれたの,0
こんなんされたらさつがいするけど私なら マジで信じられん,0
鬼滅クラスターあるな,0
鬱…,0
なんか今外で歩くとみんなヮィャレスイヤホホ付けてるからヮィャレスジャナイデスイヤンホホイつけるの恥ずかしくてつけられない,0
なろう連載してる時は追ってたんだけどな,0
こういうのいいなと思う一方、あらゆるリスクを背負ってでも子供を産みたい相手なのかっていうのがやっぱカギなんじゃないかって思うんよな 綺麗事だけどな,0
乳首もげそうなぐらい痛い,0
ウーバーイーツ絶対頼まねえわ…,0
デブが乗降口付近陣取るのは重罪にして欲しい,0
朝っぱらに床濡れてるの気が付かなくて思いっきり転倒したんだけど今更腰に変な痛みが出てきた,0
恐ろしいアザラシさん,0
スッピン写真見せて血圧下げるやつ思い出した,0
気の毒すぎるわ,0
いやちょっとまってバカすぎる…勘弁して…,0
電車乗り降りする時にスマホいじってチンたらしてる奴殴っていいことにしてほしい,0
おこ,0
なんか前にオフ会乙でした?^みたいな感じで着衣の胸部写真を上げているツイートがtlに流れてきたことがあったんですけど、マジで胸部である必然性が理解できなかったんですよね。,0
まあこれ現場としては仕方ないんだろうけどな この間パン買った時に金銭授受で指先が変色してる手袋でそのまま私が食べるパンをガッツリ掴んでカットされたので流石に食う気失せてそのまま捨てた,0
「二人で部屋飲みできたら、相手はセックスするのはOKと思っている」って一体どこから来たんだろうなあ,0
集中力無さすぎる,0
いや?なにごともないといいですけどね。,0
途中まで方向守ってはいたものの最後の最後に急に方向転換して狭い階段封鎖して私と私の後続の進路妨害してきた女さん邪魔すぎてマジではっ倒そうかと思った 急ぎたいのはお前だけじゃありません,0
急に無理な方向転換してくるの女性に多い気がしますね,0
女の叫び声聞こえてきたら110番するか…,0
はあ、貴重な睡眠時間,0
吐瀉物が落ちている、TOKYO,0
今日はもういろいろとむりすぎるからもうねる,0
ねーーみ,0
左手親指火傷したー 今日もうなにもしたくない,0
激安な服でも好きなデザインあると衝動買いするけど、1、2回着たらすぐにダメになるんだよね,0
何が要るもので何が要らんものかわからん,0
価値が見出だせない,0
時間があるときってなに,0
怒らせる能力に長けてるぽい。,0
3年住んでるけど、まだ地理が覚えれん,0
なぜ物干し台倒れる？,0
ねむ,0
そこら辺で売ってるもので良いシャンプーないかな。,0
自分の方向音痴さに参った,0
威厳が感じられないのはスマホ見ながら話したり叱ったりしてるからだろうか。,0
やめてって言ってエスカレートするのほんとなんなん,0
何に許しを請うのか,0
せっかく大台(私の中の)切ったのに、また戻ってきたー ストレスのせいにしておこうか,0
明日、筋肉痛確定やな,0
ここ1ヶ月の話,0
ひとりコメダしに来たけど、満席,0
おいしくないフライドポテトはじめて食べた,0
包丁が根元から折れて刃だけ飛んできたときはびびった,0
苦手な裁縫しなくちゃ。,0
あー、失敗した。,0
むくみなんてほとんど悩んだことなかったのに(笑),0
鏡見るのつらい,0
隣の家に行きたいけど、この雨風はあかんわー。,0
この2日で顔がでかくなってる,0
歩くだけで歯が痛い,0
最近、手がゆるい。,0
うわー寝てた。,0
ダウン着るのやめよう。,0
フィギュアしててトイレに行けない,0
車運転するの怖くなってきたけど、車が無いと生活できんのよね,0
わからないことを聞くって難しい。,0
そして火傷する,0
写真撮ってもらって見てみたら、私、がたいのいいあんちゃんだった,0
旅行から帰ってきたら車が鳥ふんだらけだった,0
ひとつ予定が狂うと何もできなくなるのどうにかしたい,0
全部自分の不注意やけど、うまくいかんなー(笑),0
ぎっくり腰やらかして1週間、いつ治るんやろ,0
なんか、もう迷惑かけまくりでつらい(笑),0
来た、手足口病。,0
スーパーのトイレで洗った手乾かそうと思って突っ込んだところがオムツのゴミ箱だった,0
いつもより早く出たのに遅刻て,0
やっぱりパーマ1週間持たんなー,0
今日祝日じゃん。,0
眠すぎて動けんけど、せんといかんことは山のよう。,0
ぎっくり腰なってしまった。,0
人指し指がホッチキスの針で釣られた,0
出かけたときの「あれ食べたい」「これ食べたい」には負けてしまう。,0
黒色錦糸卵になった,0
不器用はどこまでいっても不器用だから糸通しガイドにすら糸を引っかけられないのよ。,0
データ少なすぎて無理,0
アホウドリ4マナは流石に弱すぎる,0
ポーカーも麻雀もたまに復帰したいなと思うことあるけど、現役に追いつけるように勉強する時間が取れないんだよね,0
最近寝すぎて仕事がはかどらない,0
やっぱわかんないなー,0
バリューカードって過大評価されがち。,0
10万辞退するって人は偉いと思うけど、人に10万辞退しろっていうやつはゴミ,0
5枚構築とかの酒場はやるけど30枚構築の酒場はめんどくさくて、やる気が起きない,0
パチンコする人って頭悪い人多いんだろうなとは思ってたけど、予想以上なことがコロナで判明してる。,0
10万円の配布を世帯じゃなくて個人にしろって言ってるアカウントが、昭恵夫人の行動について安倍総理を責めてるのダブスタじゃないか？,0
このタイミングで保健所に行く用事が入ったんだけど、めっちゃ混んでそうだし、感染リスク高そうでいやだ。,0
コロナで死ななくても経済で死ぬ人でてくるっていうけどさ、借金まみれの無職になっても、自己破産して生活保護受ければ死なないでしょ,0
アオカビ系がまじで無理で4種のチーズとかクアトロフォルマッジオってアオカビが混じってると食べれない。,0
セットするなら、なんかネトマの個室にしとけばいいのに,0
差別意識があるのは岡村隆史じゃなくて、あの発言は差別であると感じる人達だと思う。,0
こういうとき、麻雀プロがだんまりなのは本当に自浄作用ないんだなと思う。,0
3位じゃだめなのね,0
神戸市民4万人の記事はおかしい。,0
資格の勉強全然してないや。,0
みちるちゃん世界19位なのかー。,0
昨日でKindle Unlimitedやめたのだけど、どうしても読み返したい1冊だけ全ページスクショしたんだ。,0
別に隣の家の人がコロナになってもいじめないけどと思う。,0
vtuber界隈で麻雀流行ってるのは嬉しいけど、あんまり強い人いないんよね,0
自称サバサバ系女子のサバサバしてなさは異常,0
ガチ勢とエンジョイ勢が対立項として語られるけど、本当のエンジョイはガチでやった先にあると思うんだよね。,0
攻略本っていうほど必要か？,0
たばこやめて、ケミカル系目指そうと思ったら若い頃使ってたドラッグが軒並み違法になってるんだよなぁ・,0
ヒトラーが言っても正しいことは正しいし、ナイチンゲールが言っても間違ってることは間違ってる。,0
虫めっちゃ嫌いだからコオロギは食べれないな,0
「夫婦で一緒にいる時間が増えることでストレスが溜まってコロナ離婚が起きる」,0
日本三大砂丘って日本最大の砂丘が含まれてないクソ選出やぞ,0
ルーンテラがログイン障害起こしてるせいでハースストーンしてる,0
なぜ海外のカードゲームは女の子をかわいくしようとしないのか,0
フェミニストとヴィーガンは大体ゴミカスだと思ってる,0
しゅばしゅばしゅば,0
そういえばまだ役満も3倍満も上がってないな。,0
除去がしょぼすぎて、デマーシアの344のやつにボコボコにされることがある,0
やっぱゲーム3つやろうとすると全部中途半端になる,0
シルフィンちゃんのRT企画は当たった人がフォロワーにいて、その後揉め事になってないから、詐欺じゃなくてちゃんと配ってるよ。,0
わいはすげー長時間労働につかれて、開店前のコンビニのバックヤードで寝てた時に、労働の時間効率って大事だとおもった,0
何人か付き合ったけど、付き合ってて1番辛かった,0
Docomoから5/31まで営業時間短縮のメールが来ました。,0
あらら、163人のうち79人が発症は厳しいね。,0
５月は、実は熱中症になりやすい時期らしい。,0
