時間,コメント
0,maiymeiy
15.19,対よろ
19.161,きたー！
21.792,対よろ！
24.241,うおお
23.917,対よろ！
25.337,やあ！
25.888,対よろ
26.274,あ
26.961,対よろ
29.02,やあ
29.048,対よろ
29.77,あ
31.07,やあ
31.277,対よろー！
31.792,やあ
36.123,対よろ〜
41.229,対よろ
41.395,楽しんでがんばれ～
41.974,うおおおおおおお
45.423,対よろ
50.286,でゅん！？
50.917,対よろ
53.564,対よろ
54.206,対よろ〜
55.968,対よろ！こん
59.02,ふぁいとー！！！
59.568,対よろ
59.678,きたきたきたぁー！
60.275,歴史的瞬間きちゃ
60.935,対よろ
61.19,対よろ
61.707,純！？
66.168,ふぉいてぃーん！
66.414,がんばれ！
65.112,じゅにちがおる、、！
66.778,対よろ！
66.949,頑張れー！
67.106,メンバーすごいw
68.091, がんばれ
68.469,meiyや
69.018,めいくん声でっか
70.834,メンツえぐいて
71.103,よーし！！
71.258,これは夢か純ちゃんとずはがvalorantしてるぞ
71.361,同接が少なければ少ないだけ入れた時嬉しい
71.684,やあですわ
71.913,がんばれ〜！！！！！
73.016,うおおおおおおお
73.04,がんばれー
74.083,頑張れ
74.338,がんばれー
74.36,対よろ！
74.355,純のこと優勝させてあげてな
74.366,がんばれー
76.327,対よろ
76.512,くずはっさん
76.522,でゅん？！
78.214,がんばって～～！
78.638,ついあり
79.109,ふぁいてぃーん
79.866,ちゃんと寝た？
80.457,たいよろんー
80.556,対よろ！
80.575,がんばれ〜！
80.786,頑張れーー
80.877,楽しみすぎメンツ
80.866,応援してる！
80.926,対よろ
81.173,歴史的邂逅
81.878,ついえら
82.039,ふぁいてぃーん
82.669,やあ
83.577,すごいなこのvcの感じ
83.865,がんばれ〜
84.263,がんばれ〜
85.353,うおおおお楽しみ
85.914,やあ
86.878,がんばれー！
87.109,葛葉めいさんのスペルMeiyだよ一応
87.613,ん
87.965,対よろ
88.009,やあ
88.053,コーチの名前が…
88.59,楽しんで〜
88.674,やあ
88.817,感謝
89.022,緊張してんのか！？
89.515,草
90.195,草
90.468,草
90.551,一回もかよ
91.147,葛葉緊張してる？
91.371,がんばれ！
93.106,対よろ
94.101,クカカ
94.47,がんばれ～！
94.903,やあ
95.36,対よろ
97.093,加藤純一最強！加藤純一最強！加藤純一最強！
98.569,楽しんでね〜
99.226,たのしみ！！
99.598,がんばれー
102.365,もう皆揃ってんのか！
102.47,対よろ！！
102.771,meiyさんかもしらん
103.028,対よろ頑張れ〜
103.96,やあ
104.528,やあ
106.437,豪華メンツやぁ！！！
106.868,がんばれー
107.083,対よろ
107.12,対ヨロ
107.798,リラックスしてがんばれー
109.032,わーい
109.916,葛葉とうんこちゃんが同じチームって昔じゃ考えられんかったなぁ
110.159, meiyかもです
110.462,がんばれー
110.584,がんばれ〜
110.62,頑張ってなー！
111.216,対よろ
111.2,対よろー
111.413,なんか静かだな
112.646,楽しみ！頑張って〜！
112.796,これ人見知り発動するか
112.829,Meiyやで
113.039,対よろ
116.025,対よろ！
117.616,Meiyさんやね
117.821,お前純来てから喋らんやん
117.826,コーチ名違うかも
118.199,葛葉、めいくんはaじゃなくてeや…！
118.096,がんばれー！！
119.118,yaa
120.152,ポメってる？
120.281,置くだけだしな
120.246,草
120.907,ｗｗ
120.918,葛葉緊張中
122.282,対よろ！楽しんでくれ！
122.602,やあ
122.846,応援してます
123.31,yaa
123.511,草
124.22,楽しみ！
124.731,葛葉さん頑張れ♡
125.089,草
125.435,加藤純一！？
126.429,Maiy
127.262,出先なので見れないけどふぁいと！！！！！！
127.91,面子楽しみすぎ！
128.11,草
128.306,んふふw
128.322,メンツえぐ
128.712,頑張れ～
128.875,対よろ
130.057,葛葉さんがんばれー٩(ˊᗜˋ*)و
130.037,Maiyさん？Meiyさん？
130.301,葛葉の声あげれる？
131.185,にょっす
131.346,草
132.092,やあ
132.502,meiy…
134.201,緊張してます
134.881,Meiy
134.989,浅いやつしかいないw
136.645,みんな楽しそうで最高だな
136.846,ふぁいてぃーん
137.161,衛門のおかた概要欄は見といてねー
139.158,喋れよ葛葉
139.412,対よろ
139.418,やぁ
140.974,これ登録者限定モードとかになってる？
140.937,いろいろがんばれw
142.179,ディスコありがとう～
142.415,頑張ってねー！๑'ω'๑
142.803,w
143.778,やあ
144.822,やあ
145.136,eやな
145.706,感謝
146.343,楽しんでくれー！
146.785,対よろ〜
147.062,草
148.152,どんなメンバーw
148.334,オーバーレイ感謝
148.707,よろしく
148.775,表示あざす
149.084,〜
150.131,今日がんばれ！
151.1,ディスコ助かる　感謝
152.139,もう勝った？
152.354,やあ
152.416,ダイヤ？
152.449,たのしんでねw
152.822,やあ
153.05,対よろ
153.146,どりゃああああああああ
153.793,めちゃめちゃ借りてきた猫
156.442,がんばれー
156.821,楽しんでねー！
156.974,めっちゃ緊張してるｗｗ
157.219,楽しみ〜！！！！！
157.479,対よろ!
161.002,あ
162.389,やあ
162.704,さすがに緊張してるか
162.765,葛葉、にょっす！
163.084,葛葉緊張中
164.695,名前誤字ってるかもしれん
164.716,やあ
165.034,楽しんでくれ〜ふぁいと！
165.06,衛門だけど頑張ってな
167.922,これ大丈夫か？w
167.968,ありがとうねぇ
168.006,感謝
168.216,にょっす
168.425,葛葉静かやね
168.599,がんばれー！
168.828,なる
169.089,がんばれ
169.286,eがaに…v
169.165,衛門がコメ欄いるのおもろw
169.709,i
169.842,頑張って
170.045,対よろ！
170.094,ディスコ感謝
170.186,ふぁいと〜！楽しんでね〜
170.216,最高に楽しみダァ！！
170.925,スイフト？
171.156,Swift？
171.543,激アツメンツすぎる
172.106,頑張れー
173.849,わくわく ふぁいとー！
175.218,わー楽しみだ
177.044,緊張するわー
177.57,にょっす
177.912,1回やるか
178.142,うおおおおおおおお
178.27,meiyさんじゃすぱーさん音量少し大きい
178.327,こんばんは〜
181.297,やあ
184.295,葛葉頼むぞ
184.467,がんばれー
184.566,緊張しないでー
184.724,がんばれー
184.816,ガチガチじゃん葛葉
185.352,やあ
185.393,がんばれ！
186.552,草
186.812,New member
186.885,ふぁいとー
187.184,純をよろしくな
188.857,楽しみや~
190.794,頑張れな
190.8,めいくん声でっかいか
190.991,このメンバーはさすがに人見知りなるよ
193.132,Meiyくんのディスコアイコンおもろ
193.683,やあ
194.132,頑張ってください！
194.403,あれw
196.013,あんまり話さないんですね
196.238,草
196.334,草
196.771,がんばろー！
196.853,がんばれ！
197.013,じゅにちさんいるやん
197.479,パワー
197.611,ん??
197.943,楽しみ！
198.206,あれｗ
198.413,あれｗ
198.555,草
198.578,関さんはゲームセンスだからな
198.964,草
200.131,対よろ
201.137,やあ
202.084,結局制限しないんだっけ？
202.097,やあ
202.468,にょっす
202.743,にょっす
202.776,草
203.456,ｶﾞﾝﾊﾞﾚｰ
204.662,にょっすw
204.818,おい葛葉静かじゃないか？？？
205.177,草
