時間,コメント,予測値
0.0,maiymeiy,0.0
15.19,対よろ,0.0
19.161,きたー！,0.0
21.792,対よろ！,0.0
24.241,うおお,1.0
23.917,対よろ！,0.0
25.337,やあ！,0.0
25.888,対よろ,0.0
26.274,あ,0.0
26.961,対よろ,0.0
29.02,やあ,0.0
29.048,対よろ,0.0
29.77,あ,0.0
31.07,やあ,0.0
31.277,対よろー！,0.0
31.792,やあ,0.0
36.123,対よろ〜,0.0
41.229,対よろ,0.0
41.395,楽しんでがんばれ～,0.0
41.974,うおおおおおおお,1.0
45.423,対よろ,0.0
50.286,でゅん！？,0.0
50.917,対よろ,0.0
53.564,対よろ,0.0
54.206,対よろ〜,0.0
55.968,対よろ！こん,0.0
59.02,ふぁいとー！！！,0.0
59.568,対よろ,0.0
59.678,きたきたきたぁー！,0.0
60.275,歴史的瞬間きちゃ,0.0
60.935,対よろ,0.0
61.19,対よろ,0.0
61.707,純！？,0.0
66.168,ふぉいてぃーん！,0.0
66.414,がんばれ！,0.0
65.112,じゅにちがおる、、！,0.0
66.778,対よろ！,0.0
66.949,頑張れー！,0.0
67.106,メンバーすごいw,1.0
68.091, がんばれ,0.0
68.469,meiyや,0.0
69.018,めいくん声でっか,0.0
70.834,メンツえぐいて,0.0
71.103,よーし！！,0.0
71.258,これは夢か純ちゃんとずはがvalorantしてるぞ,0.0
71.361,同接が少なければ少ないだけ入れた時嬉しい,0.0
71.684,やあですわ,0.0
71.913,がんばれ〜！！！！！,0.0
73.016,うおおおおおおお,1.0
73.04,がんばれー,0.0
74.083,頑張れ,0.0
74.338,がんばれー,0.0
74.36,対よろ！,0.0
74.355,純のこと優勝させてあげてな,0.0
74.366,がんばれー,0.0
76.327,対よろ,0.0
76.512,くずはっさん,0.0
76.522,でゅん？！,0.0
78.214,がんばって～～！,0.0
78.638,ついあり,0.0
79.109,ふぁいてぃーん,0.0
79.866,ちゃんと寝た？,0.0
80.457,たいよろんー,0.0
80.556,対よろ！,0.0
80.575,がんばれ〜！,0.0
80.786,頑張れーー,0.0
80.877,楽しみすぎメンツ,0.0
80.866,応援してる！,0.0
80.926,対よろ,0.0
81.173,歴史的邂逅,0.0
81.878,ついえら,0.0
82.039,ふぁいてぃーん,0.0
82.669,やあ,0.0
83.577,すごいなこのvcの感じ,0.0
83.865,がんばれ〜,0.0
84.263,がんばれ〜,0.0
85.353,うおおおお楽しみ,0.0
85.914,やあ,0.0
86.878,がんばれー！,0.0
87.109,葛葉めいさんのスペルMeiyだよ一応,1.0
87.613,ん,0.0
87.965,対よろ,0.0
88.009,やあ,0.0
88.053,コーチの名前が…,0.0
88.59,楽しんで〜,0.0
88.674,やあ,0.0
88.817,感謝,0.0
89.022,緊張してんのか！？,0.0
89.515,草,1.0
90.195,草,1.0
90.468,草,1.0
90.551,一回もかよ,0.0
91.147,葛葉緊張してる？,0.0
91.371,がんばれ！,0.0
93.106,対よろ,0.0
94.101,クカカ,0.0
94.47,がんばれ～！,0.0
94.903,やあ,0.0
95.36,対よろ,0.0
97.093,加藤純一最強！加藤純一最強！加藤純一最強！,0.0
98.569,楽しんでね〜,0.0
99.226,たのしみ！！,0.0
99.598,がんばれー,0.0
102.365,もう皆揃ってんのか！,0.0
102.47,対よろ！！,0.0
102.771,meiyさんかもしらん,0.0
103.028,対よろ頑張れ〜,0.0
103.96,やあ,0.0
104.528,やあ,0.0
106.437,豪華メンツやぁ！！！,0.0
106.868,がんばれー,0.0
107.083,対よろ,0.0
107.12,対ヨロ,1.0
107.798,リラックスしてがんばれー,0.0
109.032,わーい,0.0
109.916,葛葉とうんこちゃんが同じチームって昔じゃ考えられんかったなぁ,0.0
110.159, meiyかもです,0.0
110.462,がんばれー,0.0
110.584,がんばれ〜,0.0
110.62,頑張ってなー！,0.0
111.216,対よろ,0.0
111.2,対よろー,0.0
111.413,なんか静かだな,0.0
112.646,楽しみ！頑張って〜！,0.0
112.796,これ人見知り発動するか,0.0
112.829,Meiyやで,1.0
113.039,対よろ,0.0
116.025,対よろ！,0.0
117.616,Meiyさんやね,0.0
117.821,お前純来てから喋らんやん,0.0
117.826,コーチ名違うかも,0.0
118.199,葛葉、めいくんはaじゃなくてeや…！,0.0
118.096,がんばれー！！,0.0
119.118,yaa,0.0
120.152,ポメってる？,0.0
120.281,置くだけだしな,0.0
120.246,草,1.0
120.907,ｗｗ,1.0
120.918,葛葉緊張中,1.0
122.282,対よろ！楽しんでくれ！,0.0
122.602,やあ,0.0
122.846,応援してます,0.0
123.31,yaa,0.0
123.511,草,1.0
124.22,楽しみ！,0.0
124.731,葛葉さん頑張れ♡,0.0
125.089,草,1.0
125.435,加藤純一！？,0.0
126.429,Maiy,0.0
127.262,出先なので見れないけどふぁいと！！！！！！,0.0
127.91,面子楽しみすぎ！,0.0
128.11,草,1.0
128.306,んふふw,1.0
128.322,メンツえぐ,0.0
128.712,頑張れ～,0.0
128.875,対よろ,0.0
130.057,葛葉さんがんばれー٩(ˊᗜˋ*)و,0.0
130.037,Maiyさん？Meiyさん？,0.0
130.301,葛葉の声あげれる？,0.0
131.185,にょっす,0.0
131.346,草,1.0
132.092,やあ,0.0
132.502,meiy…,1.0
134.201,緊張してます,0.0
134.881,Meiy,0.0
134.989,浅いやつしかいないw,1.0
136.645,みんな楽しそうで最高だな,0.0
136.846,ふぁいてぃーん,0.0
137.161,衛門のおかた概要欄は見といてねー,0.0
139.158,喋れよ葛葉,1.0
139.412,対よろ,0.0
139.418,やぁ,0.0
140.974,これ登録者限定モードとかになってる？,0.0
140.937,いろいろがんばれw,1.0
142.179,ディスコありがとう～,0.0
142.415,頑張ってねー！๑'ω'๑,0.0
142.803,w,1.0
143.778,やあ,0.0
144.822,やあ,0.0
145.136,eやな,1.0
145.706,感謝,0.0
146.343,楽しんでくれー！,0.0
146.785,対よろ〜,0.0
147.062,草,1.0
148.152,どんなメンバーw,1.0
148.334,オーバーレイ感謝,0.0
148.707,よろしく,0.0
148.775,表示あざす,0.0
149.084,〜,0.0
150.131,今日がんばれ！,0.0
151.1,ディスコ助かる　感謝,0.0
152.139,もう勝った？,0.0
152.354,やあ,0.0
152.416,ダイヤ？,0.0
152.449,たのしんでねw,1.0
152.822,やあ,0.0
153.05,対よろ,0.0
153.146,どりゃああああああああ,0.0
153.793,めちゃめちゃ借りてきた猫,0.0
156.442,がんばれー,0.0
156.821,楽しんでねー！,0.0
156.974,めっちゃ緊張してるｗｗ,1.0
157.219,楽しみ〜！！！！！,0.0
157.479,対よろ!,0.0
161.002,あ,0.0
162.389,やあ,0.0
162.704,さすがに緊張してるか,0.0
162.765,葛葉、にょっす！,0.0
163.084,葛葉緊張中,1.0
164.695,名前誤字ってるかもしれん,0.0
164.716,やあ,0.0
165.034,楽しんでくれ〜ふぁいと！,0.0
165.06,衛門だけど頑張ってな,0.0
167.922,これ大丈夫か？w,1.0
167.968,ありがとうねぇ,0.0
168.006,感謝,0.0
168.216,にょっす,0.0
168.425,葛葉静かやね,0.0
168.599,がんばれー！,0.0
168.828,なる,0.0
169.089,がんばれ,0.0
169.286,eがaに…v,1.0
169.165,衛門がコメ欄いるのおもろw,1.0
169.709,i,1.0
169.842,頑張って,0.0
170.045,対よろ！,0.0
170.094,ディスコ感謝,0.0
170.186,ふぁいと〜！楽しんでね〜,0.0
170.216,最高に楽しみダァ！！,0.0
170.925,スイフト？,0.0
171.156,Swift？,0.0
171.543,激アツメンツすぎる,1.0
172.106,頑張れー,0.0
173.849,わくわく ふぁいとー！,0.0
175.218,わー楽しみだ,0.0
177.044,緊張するわー,0.0
177.57,にょっす,0.0
177.912,1回やるか,0.0
178.142,うおおおおおおおお,1.0
178.27,meiyさんじゃすぱーさん音量少し大きい,0.0
178.327,こんばんは〜,0.0
181.297,やあ,0.0
184.295,葛葉頼むぞ,0.0
184.467,がんばれー,0.0
184.566,緊張しないでー,0.0
184.724,がんばれー,0.0
184.816,ガチガチじゃん葛葉,0.0
185.352,やあ,0.0
185.393,がんばれ！,0.0
186.552,草,1.0
186.812,New member,0.0
186.885,ふぁいとー,0.0
187.184,純をよろしくな,0.0
188.857,楽しみや~,0.0
190.794,頑張れな,0.0
190.8,めいくん声でっかいか,0.0
190.991,このメンバーはさすがに人見知りなるよ,0.0
193.132,Meiyくんのディスコアイコンおもろ,0.0
193.683,やあ,0.0
194.132,頑張ってください！,0.0
194.403,あれw,1.0
196.013,あんまり話さないんですね,0.0
196.238,草,1.0
196.334,草,1.0
196.771,がんばろー！,0.0
196.853,がんばれ！,0.0
197.013,じゅにちさんいるやん,0.0
197.479,パワー,0.0
197.611,ん??,0.0
197.943,楽しみ！,0.0
198.206,あれｗ,1.0
198.413,あれｗ,1.0
198.555,草,1.0
198.578,関さんはゲームセンスだからな,0.0
198.964,草,1.0
200.131,対よろ,0.0
201.137,やあ,0.0
202.084,結局制限しないんだっけ？,0.0
202.097,やあ,0.0
202.468,にょっす,0.0
202.743,にょっす,0.0
202.776,草,1.0
203.456,ｶﾞﾝﾊﾞﾚｰ,0.0
204.662,にょっすw,1.0
204.818,おい葛葉静かじゃないか？？？,0.0
205.177,草,1.0
205.202,かっさんいるからって緊張すんな頑張れ,0.0
205.943,草,1.0
206.272,対よろ,0.0
206.446,にょっす,0.0
206.863,葛葉頑張れ,0.0
207.359,にょすにょすにょす,0.0
208.08,葛葉がんばれ！,0.0
208.096,がんばれくずは！,0.0
209.847,レジェンドいると緊張するな,0.0
210.807,くーちゃん静かで草,1.0
211.147,やあ,0.0
212.382,がんばれ,0.0
212.5,・,1.0
212.782,草,1.0
213.011,対よろ,0.0
213.171,お前が頼りだ！純を頼む！,1.0
216.267,ミュートになってますよ,0.0
216.728,ぼ、ど,0.0
216.978,緊張してる？,0.0
217.334,人見知り中です,0.0
217.539,です,0.0
217.536,にょっす,0.0
217.597,モデレーターさんよろしくお願いいたします,0.0
218.259,葛葉さんよろしくな,0.0
218.562,やあ,0.0
218.674,草,1.0
219.111,コーチeの方や,1.0
219.146,草,1.0
221.236,これは喋れんわw,1.0
221.337,いつも通り頑張れ,0.0
221.699,あ,0.0
222.008,草,1.0
222.533,蛆虫湧いてんなー,0.0
224.626,やあ,0.0
225.822,がんばれ！！！！！,0.0
225.901,にょっす,0.0
226.676,緊張なのか準備してるからなのか,0.0
229.066,がんばえー！,0.0
229.264,緊張してるか？笑,1.0
229.563,人見知りw,1.0
230.177,にょっす,0.0
231.579,くーちゃん大人しいねぇ,0.0
231.793,がんばれ！,0.0
232.3,どりゃ！,0.0
232.541,緊張してない？,0.0
233.017,この人が葛葉ですか?,0.0
233.152,頑張れ︎葛葉︎,1.0
233.862,にょっす,0.0
234.355,うんこちゃんキャリーすべ,0.0
234.455,草,1.0
235.217,くーちゃんがんばれ,0.0
235.64,草,1.0
235.848,なんか静かですね,0.0
235.925,マイさんって誰ですか？,0.0
236.43,にょっす,0.0
236.487,meiy3修正できるか？,0.0
236.524,静かｗ,1.0
