時間,コメント,予測値
0.0,maiymeiy,0
15.19,対よろ,0
19.161,きたー！,0
21.792,対よろ！,0
24.241,うおお,0
23.917,対よろ！,0
25.337,やあ！,0
25.888,対よろ,0
26.274,あ,0
26.961,対よろ,0
29.02,やあ,0
29.048,対よろ,0
29.77,あ,0
31.07,やあ,0
31.277,対よろー！,0
31.792,やあ,0
36.123,対よろ〜,0
41.229,対よろ,0
41.395,楽しんでがんばれ～,0
41.974,うおおおおおおお,0
45.423,対よろ,0
50.286,でゅん！？,0
50.917,対よろ,0
53.564,対よろ,0
54.206,対よろ〜,0
55.968,対よろ！こん,0
59.02,ふぁいとー！！！,0
59.568,対よろ,0
59.678,きたきたきたぁー！,0
60.275,歴史的瞬間きちゃ,0
60.935,対よろ,0
61.19,対よろ,0
61.707,純！？,1
66.168,ふぉいてぃーん！,0
66.414,がんばれ！,0
65.112,じゅにちがおる、、！,0
66.778,対よろ！,0
66.949,頑張れー！,0
67.106,メンバーすごいw,1
68.091, がんばれ,0
68.469,meiyや,0
69.018,めいくん声でっか,0
70.834,メンツえぐいて,0
71.103,よーし！！,0
71.258,これは夢か純ちゃんとずはがvalorantしてるぞ,0
71.361,同接が少なければ少ないだけ入れた時嬉しい,0
71.684,やあですわ,0
71.913,がんばれ〜！！！！！,0
73.016,うおおおおおおお,0
73.04,がんばれー,0
74.083,頑張れ,0
74.338,がんばれー,0
74.36,対よろ！,0
74.355,純のこと優勝させてあげてな,0
74.366,がんばれー,0
76.327,対よろ,0
76.512,くずはっさん,0
76.522,でゅん？！,0
78.214,がんばって～～！,0
78.638,ついあり,0
79.109,ふぁいてぃーん,0
79.866,ちゃんと寝た？,0
80.457,たいよろんー,0
80.556,対よろ！,0
80.575,がんばれ〜！,0
80.786,頑張れーー,0
80.877,楽しみすぎメンツ,0
80.866,応援してる！,0
80.926,対よろ,0
81.173,歴史的邂逅,0
81.878,ついえら,0
82.039,ふぁいてぃーん,0
82.669,やあ,0
83.577,すごいなこのvcの感じ,0
83.865,がんばれ〜,0
84.263,がんばれ〜,0
85.353,うおおおお楽しみ,0
85.914,やあ,0
86.878,がんばれー！,0
87.109,葛葉めいさんのスペルMeiyだよ一応,0
87.613,ん,0
87.965,対よろ,0
88.009,やあ,0
88.053,コーチの名前が…,0
88.59,楽しんで〜,0
88.674,やあ,0
88.817,感謝,0
89.022,緊張してんのか！？,0
89.515,草,1
90.195,草,1
90.468,草,1
90.551,一回もかよ,0
91.147,葛葉緊張してる？,0
91.371,がんばれ！,0
93.106,対よろ,0
94.101,クカカ,0
94.47,がんばれ～！,0
94.903,やあ,0
95.36,対よろ,0
97.093,加藤純一最強！加藤純一最強！加藤純一最強！,0
98.569,楽しんでね〜,0
99.226,たのしみ！！,0
99.598,がんばれー,0
102.365,もう皆揃ってんのか！,0
102.47,対よろ！！,0
102.771,meiyさんかもしらん,0
