コメント,ラベル
概要欄のエクス分身してて草,1
葛葉不破でタイトル同じなの草,1
草,1
ふわっちと同じタイトルw,1
ふわと仲良しタイトルでいいねｗｗ,1
タイトル一致草,1
ふわと仲いいなｗ,1
逆に奏斗が居ないのかw,1
これどっちかがタイトルパクったやろｗ,1
雲雀とはOW2で一緒でしたよ,1
いいむw,1
うあｗ,1
タイトル一緒だねw,1
偶然なん？ｗ,1
おもったｗ,1
すごいよw,1
ww,1
わざとじゃないんかw,1
すげえ笑,1
思考が同じｗ,1
すげえw,1
ええw,1
そんなことある？ww,1
ふわっちとタイトルオソロは草,1
ええww,1
意図的かと思ってたｗｗ,1
すごw,1
偶然？！笑笑,1
すげぇｗ,1
タイトルシンクロは見たことないww,1
偶然なん！？w,1
おもろw,1
偶然なのww,1
すげぇw,1
揃えたと思った笑,1
通じ方やばいw,1
思考が似通ってるw,1
一緒にした訳じゃなかったんw,1
いよいよ同一化かw,1
シンクロｗ,1
奇跡w,1
たまたまなの草,1
偶然なんかw,1
前も同じタイトルだったしなｗ,1
すごいw,1
偶然なのかw,1
合わせたのかと思ってたw,1
さすがすぎw,1
にゃあーw,1
まあそれもすごｗ,1
合わせたのかと思ったwすごい！,1
思考いっしょw,1
すごすぎるw,1
怖いよｗ,1
若干違うのがリアルですごいww,1
タイトル合わせたんじゃないんだw,1
合わせてるのかと思ったw,1
仲良しw,1
みらいさんw,1
未来さんw,1
シンクロすぎて草,1
なぜw,1
逆にｗ,1
ならスカイの方がww,1
逆にねｗｗ,1
あらw,1
大丈夫かｗ,1
そんなにww,1
そんな当たらんのｗ,1
声でかw,1
やばいw,1
ならかさんすでにお母さんみたいw,1
やってたねw,1
FPS離れてるw,1
塊魂w,1
w,1
おせぇw,1
ちっかｗ,1
にゃらか元気いっぱいで可愛いなｗｗ,1
ナイスゥ,1
あw,1
がんばれ〜,1
ナイス,1
GO,1
ｗｗ,1
なにが起きてる？,1
ナイスゥ！,1
何が起きたw,1
エイム終わってるかw,1
まじでｗ,1
なんも聞こえてねえw,1
何今のw,1
まじで小さいw,1
音小さいw,1
わちゃわちゃ,1
きこえないw,1
まるで仲間w,1
たまがあ,1
今のなにww,1
上手くね？笑,1
ラグーザコールｗ,1
タイトル回収,1
ほんとにちっちゃくて草,1
ちっさｗ,1
敵陣に囲まれてたw,1
せやなw,1
おもろプレイきちゃｗ,1
タイトル回収はやすぎたw,1
オーメンシェリフえぐいｗ,1
弾当たらなさすぎて諦めてたしなww,1
敵に囲まれてたw,1
ナイフ持ってるKOいるわオーメン後ろ向いてるわｗ,1
本気って何w,1
れちご,1
どまw,1
れちごー,1
久々で弾当たってなかった,1
やばｗｗ,1
当たらんw,1
沼w,1
あたんねぇｗ,1
どまｗ,1
0!?,1
さすがに神エイムかも,1
今日すごいかw,1
あたるわけねえだろ,1
1発も当たってなくて草,1
0w,1
神エイムうおお,1
紙エイムきた,1
ゲーム音ちっさ なの草,1
マジでタイトル回収w,1
神エイムすぎた,1
りりむに撃ち負けたw,1
まさかの0,1
ドローンがww,1
ほんとにやばそうww,1
ほんとに当たってねえ,1
沼,1
ぜ、ゼロ！？,1
0…だと？,1
撃ち方ウィングマンやんw,1
ゼロw,1
タイトル回収ｗ,1
一枚側あんたやw,1
マジでふわっちの共鳴率がたっけえ,1
omg,1
どま,1
弾あたるわけねえだろ！,1
タイトルに偽りなしで草,1
対よろ,1
わっちゃわちゃｗｗ,1
うるせw,1
わちゃわちゃw,1
わちゃわちゃだぁ,1
神すぎ,1
今日凄いぞー,1
当たるわけねえだろカスタム,1
わちゃわちゃｗｗ,1
カスタム名通りだああ,1
混乱してるw,1
わちゃわちゃすぎる,1
やばすぎだｗ,1
わあw,1
戦場すぎるw,1
ひばだけ声ちっちぇか,1
ｗ,1
うぎゃあw,1
めっちやくちゃｗ,1
一旦タイトル通りか,1
賑やかね,1
