投稿時間,コメント,ラベル
0,あつぅ,0
1.237,待機:_naa::_noo: だるさかさんとコラボ楽しみ!,0
22.03,だるさか！？！？,0
28.799,だるさかコラボはどう考えても最高なのよね,0
33.844,だるさか久々？,0
53.188,喉逝かれるぞこれ笑,1
84.143,このコラボはまずいw,1
92.41,だるさかコンビ:exclamation_question_mark:︎,0
97.769,だるまさん今ランク頑張ってるからな〜！！楽しみ〜,0
97.979,だるさかと組んだら喉えぐいことなりそうw,1
104.718,楽しみです！,0
111.23,このコラボでランクかーｗ,0
113.089,だるさか！？,0
118.594,ひなーのの叫びをたくさん聞ける、うれしい,0
119.075,喉不調二人いて草,1
131.051,これは楽しみランクだ！,0
150.788,のど大丈夫か（笑,1
156.685,待機:_naa::_noo:,0
156.932,めっちゃ楽しみだ！！！！！,0
161.323,ガハハゲーミング楽しみ(　＾ω＾),0
178.031,待機:_naa::_noo:,0
181.24,たいき:_naa::_noo:,0
199.761,メンツが得でしかない！,0
222.183,待機:_naa::_noo:,0
222.935,メンバーが最高,0
255.964,待機:_naa::_noo:,0
264.58,うるさいっ！！が何回も出そうな組み合わせだw,1
296.06,このメンバーは間違いなく楽しい:partying_face:,0
308.568,待機:_naa::_noo:,0
315.43,喉痛めそうな組み合わせ,0
320.054,おもろすぎやろw,1
327.381,待機:_naa::_noo:楽しみ:_naa::_noo:,0
336.257,待機:_naa::_noo:,0
336.525,これヴァロまだ見てるな,0
345.135,待機:_naa::_noo:,0
353.303,待機:_naa::_noo:,0
361.348,ツッコミ大変だ病み上がりじゃなかったっけそれだけが心配,0
361.816,激アツメンバーじゃん,0
365.818,病み上がりに摂取するメンツじゃないww,1
381.353,待機,0
385.177,ワンチャンだるまさんが遅刻か？,0
387.44,喉気をつけてねw,1
398.105,ワンチャンどころかwww,1
400.608,待機,0
408.907,コロナで死にそうだけど元気貰えそう,0
410.836,サムネかわいい,0
411.781,病み上がりには刺激が強すぎるな…,0
451.576,だるまさんまた遅刻か？w,1
453.634,サムネすごいかわいい,0
456.806,いっぱい笑って欲しいけど笑いすぎて喉悪くしないでねw。見る側も楽しむよー。,1
463.533,喉悪化しすぎないようにね！楽しみ！,0
474.087,きちゃあああああああああああ,0
474.817,こん:_hii::_naa:,0
477.92,ひなーのたいへんだ,0
480.088,楽しみ,0
482.445,きちゃああああああ,0
483.072,こん:_hii::_naa:,0
483.274,こん:_hii::_naa:,0
483.833,来た〜,0
483.831,こん:_hii::_naa:,0
484.361,きたわね,0
487.2,ひなーの！,0
487.393,こん:_hii::_naa:,0
487.498,こんひな,0
489.555,こんひなー,0
489.61,こん:_hii::_naa:,0
490.679,きちゃぁぁぁぁぁぁ,0
491.023,こん:_hii::_naa:,0
491.283,こん:_naa::_noo:,0
491.406,こん:_hii::_naa:,0
491.589,こんひな,0
491.973,こん:_hii::_naa:,0
492.656,こん:_hii::_naa:,0
493.106,ふたりだーけのひーみつだよ,0
493.222,こん:_hii::_naa:,0
494.657,なに？！だるさかだと？！,0
494.788,こん:_hii::_naa:,0
494.97,珍しいメンツ,0
494.912,こんひな〜,0
497.051,こん:_hii::_naa:,0
497.614,こんひな,0
497.722,こんひな,0
497.877,こんひな～,0
499.867,こん:_hii::_naa:,0
500.48,こん:_hii::_naa:です,0
500.4,こんひな〜,0
501.571,こん:_hii::_naa:,0
502.082,こんひな〜,0
502.345,こん:_hii::_naa:,0
502.604,こんひな,0
503.096,こん:_hii::_naa:,0
503.118,こんひな～,0
503.515,こん:_hii::_naa:,0
504.49,こん:_hii::_naa:,0
505.896,こんひな！,0
506.048,こんひな～,0
506.501,だるさかひなーの,0
507.164,こんひなー,0
508.03,こんひな,0
507.945,こんひな,0
508.72,まさかのだるさか,0
509.748,こん:_hii::_naa:,0
510.913,びな,0
511.458,だるさかと！？,0
511.609,この3人は楽しみ,0
511.73,今日で喉死ぬね,0
512.56,珍しいメンツ,0
512.67,こんひな！,0
516.3,こん,0
517.375,こんひな,0
517.571,珍しい組み合わせ,0
517.822,こんひなー,0
517.99,だるまさんと、ありさかさんや,0
518.587,こんひな,0
520.492,こん:_hii::_naa:,0
520.58,こんひな！！,0
523.054,こん:_hii::_naa:,0
523.944,こん:_hii::_naa:,0
523.898,こんひな！,0
524.554,こん:_hii::_naa:,0
525.604,めずらし！,0
526.485,だるさか！？,0
527.882,何時間続くか分からないお笑い番組始まった,1
528.004,それいいよなぁ,0
533.156,こん:_hii::_naa:,0
533.344,推し３人集合:double_exclamation_mark:って感じ,0
533.29,メンツ好き,0
534.245,こん:_hii::_naa:,0
534.316,珍しい構成やな,0
535.946,いいのか？,0
536.734,まさかの推しメンフルパ,0
536.889,だるさかだ最高！！,0
537.522,大好きな3人やwww,1
537.94,メンツ髪,0
538.631,こんひな！,0
539.804,なんやねんヴァンダルマって,0
539.9,こんひな,0
541.217,だるさかとやるのは楽しみです,0
541.482,こん:_hii::_naa:,0
542.71,こん:_hii::_naa:,0
