投稿時間,コメント,ラベル,,,,,,,,,
0,あつぅ,,,,,,,,,,
1.237,待機:_naa::_noo: だるさかさんとコラボ楽しみ!,,,,,,,,,,
22.03,だるさか！？！？,,,,,,,,,,
28.799,だるさかコラボはどう考えても最高なのよね,,,,,,,,,,
33.844,だるさか久々？,,,,,,,,,,
53.188,喉逝かれるぞこれ笑,,,,,,,,,,
84.143,このコラボはまずいw,,,,,,,,,,
92.41,だるさかコンビ:exclamation_question_mark:︎,,,,,,,,,,
97.769,だるまさん今ランク頑張ってるからな〜！！楽しみ〜,,,,,,,,,,
97.979,だるさかと組んだら喉えぐいことなりそうw,,,,,,,,,,
104.718,楽しみです！,,,,,,,,,,
111.23,このコラボでランクかーｗ,,,,,,,,,,
113.089,だるさか！？,,,,,,,,,,
118.594,ひなーのの叫びをたくさん聞ける、うれしい,,,,,,,,,,
119.075,喉不調二人いて草,,,,,,,,,,
131.051,これは楽しみランクだ！,,,,,,,,,,
150.788,のど大丈夫か（笑,,,,,,,,,,
156.685,待機:_naa::_noo:,,,,,,,,,,
156.932,めっちゃ楽しみだ！！！！！,,,,,,,,,,
161.323,ガハハゲーミング楽しみ(　＾ω＾),,,,,,,,,,
178.031,待機:_naa::_noo:,,,,,,,,,,
181.24,たいき:_naa::_noo:,,,,,,,,,,
199.761,メンツが得でしかない！,,,,,,,,,,
222.183,待機:_naa::_noo:,,,,,,,,,,
222.935,メンバーが最高,,,,,,,,,,
255.964,待機:_naa::_noo:,,,,,,,,,,
264.58,うるさいっ！！が何回も出そうな組み合わせだw,,,,,,,,,,
296.06,このメンバーは間違いなく楽しい:partying_face:,,,,,,,,,,
308.568,待機:_naa::_noo:,,,,,,,,,,
315.43,喉痛めそうな組み合わせ,,,,,,,,,,
320.054,おもろすぎやろw,,,,,,,,,,
327.381,待機:_naa::_noo:楽しみ:_naa::_noo:,,,,,,,,,,
336.257,待機:_naa::_noo:,,,,,,,,,,
336.525,これヴァロまだ見てるな,,,,,,,,,,
345.135,待機:_naa::_noo:,,,,,,,,,,
